10Dq,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_1,1_T_2_0,1_T_2_1,3_A_2,3_T_1_0,3_T_1_1,3_T_2
21821.821821821824,28469.704060076518,75212.51679508683,13430.34103263773,56626.87982252562,38038.610427581676,13221.613360511235,35013.7856728303,41938.4322494035,0.0,31311.39903334153,20116.610427581676
21861.861861861864,28475.959392526827,75284.1070156828,13429.605787969767,56705.46062023987,38077.53320410482,13221.257550436912,35051.94699591087,42017.39506596668,0.0,31349.204546347773,20155.533204104817
21901.901901901907,28482.194624102547,75355.72287919058,13428.87190982077,56784.04559347235,38116.45875164656,13220.901776136892,35090.113825254324,42096.360653548465,0.0,31387.01560139122,20194.45875164656
21941.941941941946,28488.409840375083,75427.36428003383,13428.139395882872,56862.634724526026,38155.38706020445,13220.546042037704,35128.28613642925,42175.32900214639,0.0,31424.832178466957,20233.38706020445
21981.981981981986,28494.60512649674,75499.03111314858,13427.408243838987,56941.227995806345,38194.31811982267,13220.190352513202,35166.46390515014,42254.30010180465,0.0,31462.65425766335,20272.318119822667
22022.022022022025,28500.78056720279,75570.72327398072,13426.678451363066,57019.82538982044,38233.25192059176,13219.834711885162,35204.64710727633,42333.273942613785,0.0,31500.481819161498,20311.25192059176
22062.062062062065,28506.936246813537,75642.44065848323,13425.95001612034,57098.42688917642,38272.18845264839,13219.479124423831,35242.83571881088,42412.25051471045,0.0,31538.31484323471,20350.18845264839
22102.102102102104,28513.07224923633,75714.18316311379,13425.222935767542,57177.03247658258,38311.12770617506,13219.123594348497,35281.02971589952,42491.22980827716,0.0,31576.153310248017,20389.127706175062
22142.142142142144,28519.18865796762,75785.95068483212,13424.49720795314,57255.6421348466,38350.06967139988,13218.768125828028,35319.22907482958,42570.21181354202,0.0,31613.997200657614,20428.069671399877
22182.182182182183,28525.285556094983,75857.74312109758,13423.772830317577,57334.25584687498,38389.01433859628,13218.41272298145,35357.43377202893,42649.19652077846,0.0,31651.84649501038,20467.01433859628
22222.222222222226,28531.36302629913,75929.56036986646,13423.049800493476,57412.87359567212,38427.9616980828,13218.057389878444,35395.643784064916,42728.18392030502,0.0,31689.701173943366,20505.961698082796
22262.262262262266,28537.421150855916,76001.40232958962,13422.328116105855,57491.49536433967,38466.911740222764,13217.702130539912,35433.85908764335,42807.17400248503,0.0,31727.561218183262,20544.911740222764
22302.302302302305,28543.460011638377,76073.26889920988,13421.607774772368,57570.12113607588,38505.864455424125,13217.346948938497,35472.07965960745,42886.16675772643,0.0,31765.426608545942,20583.864455424125
22342.342342342345,28549.47969011868,76145.15997815959,13420.888774103489,57648.75089417478,38544.81983413913,13216.991848999087,35510.30547693683,42965.16217648148,0.0,31803.29732593592,20622.819834139133
22382.382382382384,28555.480267370163,76217.07546635813,13420.17111170275,57727.38462202554,38583.77786686414,13216.636834599381,35548.53651674652,43044.16024924653,0.0,31841.173351345904,20661.777866864144
22422.422422422424,28561.461824069276,76289.01526420939,13419.454785166925,57806.02230311175,38622.738544139334,13216.281909570334,35586.77275628591,43123.16096656176,0.0,31879.054665856245,20700.738544139334
22462.462462462463,28567.42444049759,76360.97927259938,13418.739792086233,57884.66392101073,38661.70185654848,13215.927077696719,35625.01417293779,43202.164319010946,0.0,31916.941250634503,20739.701856548483
