10Dq,1_A_1_0,1_A_1_1,1_E_0,1_E_1,1_T_3_0,1_T_3_1,3_T_1_0,3_T_1_1,1_T_1,3_T_2,3_A_2
12892.892892892894,26358.10276646994,60155.455083322675,13629.76709176145,39257.79075803117,13283.702473530164,26710.962483369563,0.0,23069.864956899728,29453.77892489631,11531.378924896311,24424.271817789202
12932.932932932934,26371.9934905126,60217.421774901726,13628.749532510195,39334.66573290413,13283.664278113063,26746.818054368337,0.0,23105.6823324814,29491.707632707166,11569.307632707167,24502.2405656401
12972.972972972975,26385.830629572338,60279.45589327695,13627.73219282312,39411.55433002616,13283.621341962533,26782.69220791378,0.0,23141.513549876312,29529.643261424644,11607.243261424645,24580.21623439762
13013.013013013015,26399.61440930285,60341.55714859805,13626.715101163323,39488.45645673757,13283.573725817776,26818.584819070107,0.0,23177.358544887884,29567.585778950448,11645.185778950448,24658.198791963463
13053.053053053054,26413.345054720783,60403.72525202373,13625.698285462466,39565.37202128205,13283.521489679999,26854.495764011463,0.0,23213.21725369146,29605.535153372257,11683.135153372257,24736.18820642531
13093.093093093094,26427.022790201252,60465.95991572364,13624.681773129936,39642.300932794955,13283.464692821788,26890.424920010002,0.0,23249.08961283179,29643.491352962443,11721.091352962443,24814.184446055537
13133.133133133135,26440.64783947348,60528.26085288025,13623.665591061887,39719.243101291846,13283.403393796414,26926.372165424178,0.0,23284.97555922059,29681.454346176863,11759.054346176863,24892.18747931
13173.173173173174,26454.22042561654,60590.62777769069,13622.64976565009,39796.19843765714,13283.337650446963,26962.337379687095,0.0,23320.875030134055,29719.424101653614,11797.024101653615,24970.19727482679
13213.213213213214,26467.74077105525,60653.06040536842,13621.634322790645,39873.166853633025,13283.267519915387,26998.320443295066,0.0,23356.787963210456,29757.400588211836,11835.000588211835,25048.213801425052
13253.253253253253,26481.20909755615,60715.5584521448,13620.619287892489,39950.14826180846,13283.193058651408,27034.321237796285,0.0,23392.714296447695,29795.383774850474,11872.983774850474,25126.23702810373
13293.293293293296,26494.625626223606,60778.12163527061,13619.604685885784,40027.14257560843,13283.114322421316,27070.339645779604,0.0,23428.65396820092,29833.373630747104,11910.973630747107,25204.266924040403
13333.333333333336,26507.99057749601,60840.74967301746,13618.590541230156,40104.149709283316,13283.031366316656,27106.37555086348,0.0,23464.606917180135,29871.370125256733,11948.970125256736,25282.303458590068
13373.373373373375,26521.304171142125,60903.442284679084,13617.576877922746,40181.169577898465,13282.944244762784,27142.428837685053,0.0,23500.573082447838,29909.373227910604,11986.973227910607,25360.346601283978
13413.413413413415,26534.566626257496,60966.19919057257,13616.563719506146,40258.20209732393,13282.853011527326,27178.499391889338,0.0,23536.55240341666,29947.382908415035,12024.982908415037,25438.39632182845
13453.453453453456,26547.778161261012,61029.02011203949,13615.551089076182,40335.247184224325,13282.757719728514,27214.58710011854,0.0,23572.544819847055,29985.399136650252,12062.999136650255,25516.45259010371
13493.493493493495,26560.93899389154,61091.904771446905,13614.539009289561,40412.304756048885,13282.658421843422,27250.691850001534,0.0,23608.550271844957,30023.421882669223,12101.021882669225,25594.51537616272
13533.533533533535,26574.049341204678,61154.852892188355,13613.527502371355,40489.37473102168,13282.55516971608,27286.81353014342,0.0,23644.568699859505,30061.451116696517,12139.051116696519,25672.584650230052
13573.573573573574,26587.10941956962,61217.86419868469,13612.516590122386,40566.45702813193,13282.448014565505,27322.952030115244,0.0,23680.60004468075,30099.486809127164,12177.086809127162,25750.660382700735
13613.613613613616,26600.119444666107,61280.93841638489,13611.506293926437,40643.55156712457,13282.337006993574,27359.10724044381,0.0,23716.644247437383,30137.5289305255,12215.1289305255,25828.742544139117
13653.653653653655,26613.079631481483,61344.07527176668,13610.496634757379,40720.658268490784,13282.22219699287,27395.279052601632,0.0,23752.701249594505,30175.577451624078,12253.17745162408,25906.831105277735
13693.693693693695,26625.990194307888,61407.27449233718,13609.48763318612,40797.77705345895,13282.103633954353,27431.46735899702,0.0,23788.770992951377,30213.632343322533,12291.232343322536,25984.92603701623
13733.733733733734,26638.851346739473,61470.53580663347,13608.479309387476,40874.90784398547,13281.981366674974,27467.672052964233,0.0,23824.85341963921,30251.69357668647,12329.293576686472,26063.027310420206
13773.773773773775,26651.663301669796,61533.85894422294,13607.471683146876,40952.05056274586,13281.855443365159,27503.893028753806,0.0,23860.948472118966,30289.761122946373,12367.361122946371,26141.13489672015
13813.813813813815,26664.426271289252,61597.24363570373,13606.464773866976,41029.205133126,13281.72591165622,27540.130181522945,0.0,23897.056093179162,30327.834953496487,12405.43495349649,26219.248767310306
13853.853853853854,26677.14046708262,61660.68961270496,13605.458600574148,41106.37147921343,13281.59281860765,27576.38340732607,0.0,23933.17622593372,30365.915039893785,12443.515039893788,26297.368893747644
13893.893893893894,26689.80609982674,61724.19660788696,13604.453181924844,41183.549525788854,13281.456210714336,27612.652603105467,0.0,23969.3088138198,30404.001353856846,12481.601353856848,26375.495247750743
13933.933933933935,26702.423379588203,61787.764354941406,13603.448536211854,41260.73919831775,13281.316133913648,27648.937666682017,0.0,24005.453800595667,30442.0938672648,12519.6938672648,26453.627801198738
13973.973973973974,26714.99251572121,61851.392588591334,13602.444681370458,41337.94042294208,13281.172633592483,27685.238496746082,0.0,24041.611130338562,30480.19255215627,12557.792552156268,26531.766526130246
14014.014014014014,26727.513716865476,61915.08104459116,13601.44163498445,41415.153126472185,13281.02575459416,27721.554992848454,0.0,24077.780747442615,30518.297380728316,12595.897380728315,26609.911394742332
14054.054054054053,26739.987190944223,61978.829459726556,13600.439414292068,41492.37723637871,13280.875541225267,27757.88705539145,0.0,24113.962596616715,30556.408325335386,12634.008325335384,26688.06237938944
14094.094094094096,26752.41314516231,62042.63757181427,13599.438036191832,41569.61268078475,13280.722037262396,27794.234585620092,0.0,24150.156622882485,30594.525358488292,12672.125358488292,26766.219452582387
14134.134134134136,26764.791786004364,62106.505119701935,13598.43751724824,41646.85938845806,13280.565285958794,27830.59748561337,0.0,24186.362771572167,30632.64845285315,12710.248452853151,26844.382586987285
14174.174174174175,26777.123319233084,62170.43184326772,13597.43787369742,41724.11728880338,13280.40533005094,27866.975658275685,0.0,24222.580988326627,30670.7775812504,12748.3775812504,26922.551755424574
14214.214214214217,26789.407949887565,62234.41748341992,13596.439121452608,41801.386311854876,13280.242211764991,27903.369007328278,0.0,24258.81121909327,30708.912716653744,12786.512716653744,27000.72693086796
14254.254254254256,26801.645882281744,62298.46178209658,13595.441276109612,41878.66638826871,13280.075972823211,27939.777437300865,0.0,24295.053410124077,30747.053832189165,12824.653832189166,27078.90808644342
14294.294294294295,26813.837320002905,62362.56448226495,13594.444352952112,41955.957449315734,13279.906654450251,27976.200853523304,0.0,24331.307507973554,30785.200901133925,12862.800901133925,27157.09519542822
14334.334334334335,26825.982465910263,62426.72532792085,13593.448366956905,42033.25942687421,13279.73429737938,28012.639162117397,0.0,24367.573459496776,30823.353896915556,12900.953896915556,27235.28823124989
14374.374374374376,26838.08152213366,62490.94406408812,13592.453332799043,42110.57225342274,13279.558941858635,28049.09226998877,0.0,24403.851211847406,30861.51279311089,12939.112793110891,27313.48716748527
14414.414414414416,26850.134690072293,62555.22043681784,13591.459264856898,42187.89586203325,13279.380627656876,28085.56008481885,0.0,24440.140712475724,30899.67756344507,12977.277563445072,27391.69197785949
14454.454454454455,26862.14217039354,62619.55419318761,13590.466177217091,42265.230186364046,13279.19939406975,28122.042515056935,0.0,24476.441909126686,30937.84818179057,13015.44818179057,27469.902636245028
14494.494494494495,26874.10416303189,62683.945081300604,13589.474083679419,42342.57516065308,13279.015279925628,28158.53946991237,0.0,24512.754749838008,30976.02462216625,13053.62462216625,27548.119116660746
14534.534534534538,26886.020867187894,62748.39285028488,13588.482997761615,42419.930719711156,13278.828323591411,28195.050859346826,0.0,24549.07918293824,31014.206858736386,13091.806858736389,27626.341393270923
14574.574574574577,26897.892481327213,62812.8972502922,13587.492932704054,42497.296798915355,13278.63856297826,28231.576594066577,0.0,24585.41515704484,31052.394865809707,13129.99486580971,27704.569440384283
14614.614614614617,26909.71920317976,62877.45803249717,13586.503901474394,42574.67333420253,13278.446035547291,28268.116585515025,0.0,24621.762621062313,31090.588617838464,13168.188617838467,27782.80323245308
14654.654654654656,26921.501229738882,62942.0749490961,13585.515916772121,42652.06026206286,13278.250778315167,28304.670745865165,0.0,24658.121524180333,31128.788089417492,13206.388089417494,27861.042744072147
14694.694694694697,26933.23875726063,63006.74775330593,13584.528991033012,42729.457519533535,13278.052827859618,28341.238988012243,0.0,24694.49181587186,31166.993255283276,13244.593255283278,27939.287949977974
14734.734734734737,26944.9319812631,63071.47619936295,13583.543136433538,42806.86504419251,13277.852220324898,28377.82122556642,0.0,24730.873445891317,31205.204090313026,13282.804090313028,28017.538825047763
14774.774774774776,26956.5810965258,63136.26004252169,13582.558364895147,42884.282774152336,13277.648991427148,28414.417372845568,0.0,24767.266364272713,31243.420569523747,13321.020569523746,28095.79534429852
14814.814814814816,26968.186297089167,63201.09903905353,13581.574688088554,42961.71064805414,13277.443176459725,28451.02734486816,0.0,24803.670521327884,31281.64266807135,13359.24266807135,28174.057482886165
14854.854854854857,26979.747776254066,63265.99294624542,13580.592117437867,43039.148605061615,13277.234810298429,28487.651057346193,0.0,24840.085867644622,31319.87036124974,13397.47036124974,28252.325216104597
14894.894894894896,26991.26572658139,63330.94152239841,13579.610664124699,43116.5965848551,13277.02392740667,28524.28842667823,0.0,24876.512354084905,31358.1036244899,13435.703624489899,28330.598519384796
14934.934934934936,27002.740339891767,63395.94452682629,13578.630339092206,43194.054527625856,13276.810561840586,28560.939369942535,0.0,24912.949931783125,31396.34243335903,13473.942433359029,28408.877368293965
14974.974974974975,27014.17180726522,63461.001719854044,13577.651153049013,43271.52237407025,13276.594747254054,28597.603804890234,0.0,24949.39855214429,31434.58676355963,13512.186763559632,28487.161738534607
15015.015015015017,27025.560319040993,63526.1128628163,13576.673116473132,43349.000065384156,13276.376516903674,28634.281649938603,0.0,24985.858166842278,31472.836590928644,13550.436590928646,28565.451605943665
15055.055055055056,27036.906064817405,63591.277718055746,13575.69623961577,43426.48754325739,13276.155903653675,28670.972824164426,0.0,25022.3287278181,31511.091891436576,13588.691891436578,28643.746946491636
15095.095095095096,27048.209233451737,63656.49604892153,13574.7205325051,43503.98474986816,13275.932939980748,28707.67724729742,0.0,25058.81018727817,31549.352641186633,13626.952641186632,28722.04773628173
15135.135135135135,27059.470013060192,63721.767619767495,13573.746004949935,43581.49162787775,13275.707657978824,28744.394839713725,0.0,25095.30249769255,31587.618816413844,13665.218816413842,28800.35395154898
15175.175175175176,27070.688591017963,63787.09219595051,13572.772666543375,43659.0081204251,13275.480089363788,28781.125522429502,0.0,25131.80561179329,31625.890393484235,13703.490393484233,28878.665568659413
15215.215215215216,27081.865153959265,63852.46954382864,13571.800526666366,43736.534171121544,13275.250265478127,28817.869217094565,0.0,25168.319482572693,31664.167348893956,13741.767348893954,28956.982564109174
15255.255255255255,27092.999887777492,63917.899430759426,13570.829594491219,43814.0697240457,13275.018217295536,28854.625845986127,0.0,25204.844063281656,31702.44965926846,13780.049659268458,29035.304914523716
15295.295295295295,27104.0929776254,63983.38162509787,13569.85987898504,43891.61472373824,13274.783975425413,28891.395332002565,0.0,25241.379307427982,31740.737301361638,13818.337301361636,29113.632596656935
15335.335335335338,27115.14460791539,64048.91589619468,13568.89138891316,43969.16911519693,13274.547570117396,28928.177598657352,0.0,25277.925168774746,31779.030252055043,13856.630252055043,29191.96558739038
15375.375375375377,27126.15496231974,64114.50201439423,13567.924132842409,44046.73284387156,13274.309031265695,28964.972570072903,0.0,25314.481601338597,31817.328488356987,13894.928488356987,29270.303863732363
15415.415415415417,27137.124223771014,64180.13975103259,13566.958119144456,44124.30585565916,13274.068388413521,29001.78017097467,0.0,25351.04855938819,31855.631987401805,13933.231987401805,29348.64740281722
15455.455455455458,27148.052574462425,64245.82887843554,13565.993355998977,44201.88809689898,13273.825670757338,29038.60032668517,0.0,25387.625997442505,31893.940726448982,13971.540726448982,29426.99618190444
15495.495495495497,27158.940195848314,64311.56916991644,13565.029851396866,44279.479514367886,13273.580907151121,29075.432963118135,0.0,25424.213870269254,31932.254682882376,14009.854682882376,29505.350178377874
15535.535535535537,27169.787268644635,64377.3603997742,13564.067613143328,44357.08005527551,13273.334126110554,29112.278006772747,0.0,25460.8121328833,31970.57383420942,14048.17383420942,29583.709369744956
