10Dq,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_E_0,2_E_1,2_E_2,2_E_3,4_T_1_0,4_T_1_1,4_A_2,4_T_2,2_A_1,2_A_2
19179.17917917918,28159.577638323462,38078.80296263583,51637.47588785965,59820.2733611743,86588.82922508186,19887.785346923658,38706.68173213636,44859.9520987452,57374.39120406352,66728.80469320636,19051.149161898848,40954.062357041286,63496.09830882957,87173.96206812622,27899.140195614807,43408.39734192273,0.0,19179.17917917918,35249.68717917918,53609.68717917918
19219.219219219223,28168.14652269119,38119.87208336018,51679.42554581668,59894.75323403363,86663.00192941363,19888.994273390956,38746.67632496769,44903.41223611671,57454.0875426696,66804.68493817037,19052.599267538586,40994.0975638917,63557.22778970277,87271.54747496307,27945.094874412138,43482.56278324552,0.0,19219.219219219216,35289.72721921922,53649.72721921922
19259.259259259263,28176.694622339786,38160.93971180571,51721.3351941022,59969.27895616162,86737.19107114624,19890.199291816924,38786.67122375691,44946.859967293065,57533.78540490068,66880.57966778797,19054.04637636503,41034.13270154071,63618.249372573875,87369.2438458167,27991.023619347026,43556.75415843075,0.0,19259.259259259255,35329.76725925926,53689.76725925926
19299.299299299302,28185.222009764613,38202.00584352146,51763.205344354414,60043.85001186972,86811.39658628558,19891.400421916238,38826.66642591674,44990.29535130323,57613.48478176624,66956.48881489332,19055.490499788164,41074.16777091259,63679.16355875882,87467.05066703694,28036.926571426986,43630.971326470906,0.0,19299.299299299295,35369.8072992993,53729.8072992993
19339.33933933934,28193.728757063123,38243.070474204906,51805.036501618946,60118.46589200925,86885.61841113982,19892.59768326536,38866.66192888651,45033.71844685451,57693.185664345816,67032.41231268385,19056.931649147416,41114.20277292038,63739.97084949864,87564.96742513031,28082.803870893724,43705.21414712431,0.0,19339.33933933934,35409.84733933934,53769.84733933934
19379.37937937938,28202.214935938857,38284.1335996994,51846.82916442325,60193.12609389711,86959.85648231764,19893.79109530386,38906.65773013178,45077.129312334204,57772.888043788334,67108.35009471813,19058.369835712234,41154.23770846597,63800.67174591331,87662.99360680542,28128.655657225423,43779.482480912724,0.0,19379.37937937938,35449.88737937938,53809.88737937938
19419.41941941942,28210.680617705402,38325.19521599133,51888.58382485138,60267.83012124151,87034.1107367269,19894.980677335592,38946.65382714413,45120.52800581151,57852.59191131145,67184.30209491384,19059.805070682738,41194.27257844027,63861.26674895636,87761.12869901778,28174.48206913916,43853.776189119104,0.0,19419.41941941942,35489.92741941942,53849.92741941942
19459.45945945946,28219.125873290235,38366.255319207216,51930.30096861817,60342.57748406822,87108.38111157293,19896.16644853004,38986.650217440765,45163.91458503916,57932.297258200895,67260.26824754592,19061.23736519029,41234.30738372337,63921.756359369916,87859.37218901372,28220.283244593247,43928.09513378514,0.0,19459.45945945946,35529.96745945946,53889.96745945946
19499.499499499503,28227.550773238563,38407.31390561131,51971.98107514353,60417.36769864653,87182.66754435707,19897.34842792338,39026.6468985642,45207.289107455195,58012.00407580984,67336.24848724439,19062.666730298126,41274.34212518466,63982.14107764074,87957.723564374,28266.059320789664,44002.43917770884,0.0,19499.4994994995,35570.0074994995,53930.0074994995
19539.539539539543,28235.955387717127,38448.37097160275,52013.624617626236,60492.20028741597,87256.96997287517,19898.5266344198,39066.643868082014,45250.651630184686,58091.71235555819,67412.24274899255,19064.093177001945,41314.37680368294,64042.4214039565,88056.18231305634,28311.810434176536,44076.80818444208,0.0,19539.53953953954,35610.04753953954,53970.04753953954
19579.579579579582,28244.339786517827,38489.42651371311,52055.23206311765,60567.07477891279,87331.28833521612,19899.701086792626,39106.64112358653,45294.00221004149,58171.422088932,67488.25096812483,19065.516716230457,41354.41142006667,64102.59783816321,88154.74792343756,28357.53672045062,44151.202018288124,0.0,19579.57957957958,35650.08757957958,54010.08757957958
19619.61961961962,28252.70403906139,38530.480528603846,52096.80387259499,60641.990707697376,87405.62256976012,19900.87180368551,39146.638662694466,45337.34090352991,58251.13326748283,67564.273080325,19066.937358846008,41394.44597517395,64162.67087972304,88253.41988435513,28403.2383145598,44225.620544299054,0.0,19619.619619619618,35690.12761961962,54050.12761961962
19659.65965965966,28261.04821440101,38571.533013063774,52138.34050103435,60716.94761428142,87479.97261517745,19902.03880361361,39186.63648304671,45380.66776684645,58330.84588282713,67640.30902162407,19068.355115645114,41434.4804698328,64222.641027672886,88352.19768514753,28448.915350705713,44300.06362827328,0.0,19659.659659659665,35730.167659659666,54090.167659659666
19699.6996996997,28269.37238122581,38612.583964006706,52179.84239748327,60791.94504505565,87554.33841042678,19903.20210496472,39226.634582308005,45423.98285588149,58410.55992664557,67716.35872839845,19069.76999735904,41474.5149048612,64282.50878058349,88451.0808156948,28494.567962346242,44374.53113675287,0.0,19699.699699699704,35770.207699699706,54130.207699699706
19739.73973973974,28277.67660786436,38653.63337846905,52221.310005133026,60866.98255221824,87628.7198947538,19904.361726000392,39266.63295816665,45467.286226221,58490.27539068248,67792.42213736795,19071.18201465438,41514.549281067266,64342.27463651956,88550.06876645752,28540.196282198205,44449.02293702102,0.0,19739.739739739744,35810.247739739745,54170.247739739745
19779.77977977978,28285.96096228809,38694.681253607414,52262.743761390346,60942.05969370313,87703.11700768974,19905.517684857103,39306.63160833426,45510.577933148226,58569.99226674527,67868.49918559386,19072.5911781336,41554.583599249345,64401.93909300013,88649.16102851584,28585.800442239975,44523.53889709937,0.0,19779.779779779783,35850.287779779785,54210.287779779785
19819.819819819822,28294.225512114674,38735.72758669643,52304.14409794883,61017.17603310923,87777.52968904976,19906.669999547306,39346.63053054545,45553.85803164533,58649.710546703776,67944.58981047709,19073.997498335564,41594.6178601962,64461.50264695996,88748.35709360741,28631.380573714134,44598.07888574533,0.0,19819.819819819822,35890.327819819824,54250.327819819824
