10Dq,2_A_1,2_A_2,2_E_0,2_E_1,2_E_2,2_E_3,2_T_1_0,2_T_1_1,2_T_1_2,2_T_1_3,2_T_1_4,2_T_2_0,2_T_2_1,2_T_2_2,2_T_2_3,2_T_2_4,4_A_2,4_T_1_0,4_T_1_1,4_T_2
7200.855855855856,23568.213741069965,42988.213741069965,13336.979652760798,29367.802196936434,33456.51324776889,64829.70401095788,18685.204058209598,23457.21494246146,27334.133000816895,32717.941318773308,42430.719529232716,18949.665434931758,26608.175944631632,32155.582897007793,41021.75965935695,65244.02891356588,13391.069596925823,0.0,19744.57162628408,6190.213741069967
7225.945945945946,23590.88921416844,43010.88921416844,13313.911836121017,29392.140618383903,33498.55571955785,64852.00273666502,18684.759991557854,23460.275238294667,27356.169124110776,32754.456005755732,42457.83976517723,18951.51929234898,26625.171832525943,32183.92545335771,41035.06287346181,65271.820673201815,13438.835160114386,0.0,19764.832482390935,6212.889214168441
7251.0360360360355,23613.570221996157,43033.57022199615,13290.833314339008,29416.468068893853,33540.6275291271,64874.31593958862,18684.309161919977,23463.327933390556,27378.216004591595,32790.94590743645,42485.01606660618,18953.35926644111,26642.18064571643,32212.263661049252,41048.35779456845,65299.65370616951,13486.606258032192,0.0,19785.104407956278,6235.570221996157
7276.126126126126,23636.2567475578,43056.256747557796,13267.74419093836,29440.784736575748,33582.72834103656,64896.643595554386,18683.851660638524,23466.37304483799,27400.273570587287,32827.410866181584,42512.248469417485,18955.185451457517,26659.202283624712,32240.59745445968,41061.64446933438,65327.52795278661,13534.382873683924,0.0,19805.38736898947,6258.2567475578
7301.216216216216,23658.948773918357,43078.94877391835,13244.64456810629,29465.09080684912,33624.85782398799,64918.9856805138,18683.387577924917,23469.410589736555,27422.341751163854,32863.85072558076,42539.53700896949,18956.997941086764,26676.236645784044,32268.926768421676,41074.92294480567,65355.44335327741,13582.164990134572,0.0,19825.6813316205,6280.948773918357
7326.3063063063055,23681.64628420294,43101.64628420294,13221.534546714498,29489.386462474788,33667.01565077244,64941.34217054372,18682.91700287443,23472.44058519592,27444.42047611574,32900.265330451504,42566.8817200708,18958.79682845785,26693.283631844773,32297.25153821501,41088.193268416566,65383.3998477742,13629.952590509245,0.0,19845.986262099577,6303.64628420294
7351.396396396396,23704.349261596533,43124.34926159654,13198.41422633976,29513.671883585987,33709.201498218,64963.713041845986,18682.440023480907,23475.46304833514,27466.50967595636,32936.6545268437,42594.28263697017,18960.5822061414,26710.343141579542,32325.57169955828,41101.45548798875,65411.397376318295,13677.745657992931,0.0,19866.302126796672,6326.349261596533
7376.486486486487,23727.05768934381,43147.05768934381,13175.283705284015,29537.94724771966,33751.415047138,64986.09827074706,18681.956726651333,23478.477996282003,27488.60928190873,32973.0181620441,42621.73979334639,18962.35416615101,26727.415074888435,32353.887188600904,41114.70965173106,65439.43587886116,13725.544175830295,0.0,19886.62889220113,6349.057689343808
7401.576576576576,23749.77155074888,43169.771550748876,13152.143080594127,29562.212729847593,33793.65598227942,65008.497833697766,18681.467198220118,23481.485446172366,27510.719225896293,33009.3560845809,42649.25322229817,18964.11279994455,26744.49933180388,32382.197941915096,41127.95580823874,65467.51529526558,13773.348127325457,0.0,19906.966524921183,6371.771550748879
7426.666666666666,23772.490829175134,43192.490829175134,13128.992448081419,29586.46850240765,33835.92399227197,65030.91170727282,18680.971522963293,23484.48541514952,27532.83944053382,33045.6681442283,42676.822956334065,18965.858198425583,26761.595812495423,32410.503896487993,41141.19400649322,65495.63556530677,13821.157495841799,0.0,19927.314991683597,6394.490829175133
7451.756756756757,23795.21550804499,43215.21550804499,13105.831902340648,29610.714735334834,33878.21876957722,65053.339868170486,18680.469784612418,23487.477920363563,27554.969859118493,33081.95419201122,42704.44902736248,18967.590451944794,26778.70441727439,32438.804989713946,41154.42429586146,65523.79662867358,13868.972264801741,0.0,19947.67425933321,6417.215508044987
7476.846846846846,23817.945570839678,43237.94557083968,13082.661536768754,29634.951596092404,33920.540010438424,65075.78229321225,18679.96206586831,23490.46297897073,27577.110415621053,33118.21408020993,42732.131466681516,18969.30965030143,26795.82504659829,32467.101159386795,41167.64672609551,65551.9984249695,13916.792417686522,0.0,19968.044294832504,6439.945570839676
7501.936936936937,23840.681001099074,43260.681001099074,13059.481443583334,29659.179249702778,33962.887414830664,65098.238959342576,18679.448448414627,23493.44060813282,27599.26104467714,33154.4476623648,42759.87030496902,18971.015882744876,26812.957601075173,32495.3923436924,41180.86134733201,65580.24089371396,13964.61793803601,0.0,19988.425065261206,6462.681001099072
7527.027027027027,23863.421782421443,43283.42178242144,13036.291713840623,29683.39785877846,34005.260686411384,65120.7098436283,18678.92901293121,23496.410825016552,27621.421681578773,33190.65479328106,42787.665572272585,18972.70923797616,26830.101981467837,32523.678481201103,41194.0682100918,65608.52397434332,14012.448809448473,0.0,20008.816537815866,6485.421782421445
